,0,1
0,কা,kɐ
1,কি,kɪ
2,কী,kɪ
3,কু,ku
4,কূ,ku
5,কৃ,kɾɪ
6,কে,ke
7,কৈ,koɪ̯
8,কো,ko
9,কৌ,kou̯
10,খা,kʰɐ
11,খি,kʰɪ
12,খী,kʰɪ
13,খু,kʰu
14,খূ,kʰu
15,খৃ,kʰɾɪ
16,খে,kʰe
17,খৈ,kʰoɪ̯
18,খো,kʰo
19,খৌ,kʰou̯
20,গা,ɡɐ
21,গি,ɡɪ
22,গী,ɡɪ
23,গু,ɡu
24,গূ,ɡu
25,গৃ,ɡɾɪ
26,গে,ɡe
27,গৈ,ɡoɪ̯
28,গো,ɡo
29,গৌ,ɡou̯
30,ঘা,ɡʱɐ
31,ঘি,ɡʱɪ
32,ঘী,ɡʱɪ
33,ঘু,ɡʱu
34,ঘূ,ɡʱu
35,ঘৃ,ɡʱɾɪ
36,ঘে,ɡʱe
37,ঘৈ,ɡʱoɪ̯
38,ঘো,ɡʱo
39,ঘৌ,ɡʱou̯
40,ঙা,ŋɐ
41,ঙি,ŋɪ
42,ঙী,ŋɪ
43,ঙু,ŋu
44,ঙূ,ŋu
45,ঙৃ,ŋɾɪ
46,ঙে,ŋe
47,ঙৈ,ŋoɪ̯
48,ঙো,ŋo
49,ঙৌ,ŋou̯
50,চা,tʃɐ
51,চি,tʃɪ
52,চী,tʃɪ
53,চু,tʃu
54,চূ,tʃu
55,চৃ,tʃɾɪ
56,চে,tʃe
57,চৈ,tʃoɪ̯
58,চো,tʃo
59,চৌ,tʃou̯
60,ছা,tʃʰɐ
61,ছি,tʃʰɪ
62,ছী,tʃʰɪ
63,ছু,tʃʰu
64,ছূ,tʃʰu
65,ছৃ,tʃʰɾɪ
66,ছে,tʃʰe
67,ছৈ,tʃʰoɪ̯
68,ছো,tʃʰo
69,ছৌ,tʃʰou̯
70,জা,zɐ
71,জি,zɪ
72,জী,zɪ
73,জু,zu
74,জূ,zu
75,জৃ,zɾɪ
76,জে,ze
77,জৈ,zoɪ̯
78,জো,zo
79,জৌ,zou̯
80,ঝা,dʒʱɐ
81,ঝি,dʒʱɪ
82,ঝী,dʒʱɪ
83,ঝু,dʒʱu
84,ঝূ,dʒʱu
85,ঝৃ,dʒʱɾɪ
86,ঝে,dʒʱe
87,ঝৈ,dʒʱoɪ̯
88,ঝো,dʒʱo
89,ঝৌ,dʒʱou̯
90,ঞা,ɲɐ
91,ঞি,ɲɪ
92,ঞী,ɲɪ
93,ঞু,ɲu
94,ঞূ,ɲu
95,ঞৃ,ɲɾɪ
96,ঞে,ɲe
97,ঞৈ,ɲoɪ̯
98,ঞো,ɲo
99,ঞৌ,ɲou̯
100,টা,ʈɐ
101,টি,ʈɪ
102,টী,ʈɪ
103,টু,ʈu
104,টূ,ʈu
105,টৃ,ʈɾɪ
106,টে,ʈe
107,টৈ,ʈoɪ̯
108,টো,ʈo
109,টৌ,ʈou̯
110,ঠা,ʈʰɐ
111,ঠি,ʈʰɪ
112,ঠী,ʈʰɪ
113,ঠু,ʈʰu
114,ঠূ,ʈʰu
115,ঠৃ,ʈʰɾɪ
116,ঠে,ʈʰe
117,ঠৈ,ʈʰoɪ̯
118,ঠো,ʈʰo
119,ঠৌ,ʈʰou̯
120,ডা,ɖɐ
121,ডি,ɖɪ
122,ডী,ɖɪ
123,ডু,ɖu
124,ডূ,ɖu
125,ডৃ,ɖɾɪ
126,ডে,ɖe
127,ডৈ,ɖoɪ̯
128,ডো,ɖo
129,ডৌ,ɖou̯
130,ঢা,ɖʱɐ
131,ঢি,ɖʱɪ
132,ঢী,ɖʱɪ
133,ঢু,ɖʱu
134,ঢূ,ɖʱu
135,ঢৃ,ɖʱɾɪ
136,ঢে,ɖʱe
137,ঢৈ,ɖʱoɪ̯
138,ঢো,ɖʱo
139,ঢৌ,ɖʱou̯
140,ণা,ɳɐ
141,ণি,ɳɪ
142,ণী,ɳɪ
143,ণু,ɳu
144,ণূ,ɳu
145,ণৃ,ɳɾɪ
146,ণে,ɳe
147,ণৈ,ɳoɪ̯
148,ণো,ɳo
149,ণৌ,ɳou̯
150,তা,tɐ
151,তি,tɪ
152,তী,tɪ
153,তু,tu
154,তূ,tu
155,তৃ,tɾɪ
156,তে,te
157,তৈ,toɪ̯
158,তো,to
159,তৌ,tou̯
160,থা,tʰɐ
161,থি,tʰɪ
162,থী,tʰɪ
163,থু,tʰu
164,থূ,tʰu
165,থৃ,tʰɾɪ
166,থে,tʰe
167,থৈ,tʰoɪ̯
168,থো,tʰo
169,থৌ,tʰou̯
170,দা,dɐ
171,দি,dɪ
172,দী,dɪ
173,দু,du
174,দূ,du
175,দৃ,dɾɪ
176,দে,de
177,দৈ,doɪ̯
178,দো,do
179,দৌ,dou̯
180,ধা,dʱɐ
181,ধি,dʱɪ
182,ধী,dʱɪ
183,ধু,dʱu
184,ধূ,dʱu
